namespace,public_count,need,zig_source,belt
babashka.classes,1,:essential,:nclj-zig-comptime,:white
babashka.classpath,3,:essential,:std.zip+std.fs,:blue
babashka.cli,15,:essential,:nclj-zig-builtin,:blue
babashka.core,1,:essential,:nclj-zig-builtin,:white
babashka.curl,7,:moderate,:std.http.Client,:purple
babashka.deps,4,:essential,:std.zip+std.json,:blue
babashka.fs,92,:essential,:std.fs+std.posix,:white
babashka.http-client,15,:essential,:std.http.Client,:blue
babashka.http-client.interceptors,14,:essential,:std.http.Client,:blue
babashka.http-client.websocket,6,:moderate,:std.http.WebSocket,:purple
babashka.nrepl.server,2,:essential,:std.net+nclj-zig,:blue
babashka.pods,6,:moderate,:std.process+bencode,:purple
babashka.process,16,:essential,:std.process,:blue
babashka.signal,1,:essential,:std.posix.sigaction,:blue
babashka.tasks,10,:essential,:nclj-zig-builtin,:blue
babashka.wait,2,:essential,:std.posix,:blue
bencode.core,2,:essential,:nclj-zig-builtin,:blue
cheshire.core,12,:essential,:std.json+nclj-zig,:blue
cheshire.factory,4,:essential,:nclj-zig-builtin,:blue
cheshire.generate,2,:essential,:nclj-zig-builtin,:blue
clj-yaml.core,6,:essential,:native-libyaml,:purple
clojure.core,641,:essential,:nclj-zig-builtin,:white
clojure.core.async,70,:essential,:nclj-zig+std.Thread,:purple
clojure.core.async.impl.protocols,1,:essential,:nclj-zig-builtin,:purple
clojure.core.match,4,:essential,:nclj-zig-macro,:purple
clojure.core.protocols,5,:essential,:nclj-zig-builtin,:blue
clojure.core.rrb-vector,1,:moderate,:nclj-zig-builtin,:brown
clojure.core.server,6,:moderate,:std.net+nclj-zig,:brown
clojure.data,2,:essential,:nclj-zig-builtin,:purple
clojure.data.csv,2,:essential,:nclj-zig-builtin,:purple
clojure.data.priority-map,4,:essential,:nclj-zig-builtin,:purple
clojure.data.xml,27,:moderate,:native-libxml2,:brown
clojure.data.xml.event,3,:moderate,:native-libxml2,:brown
clojure.data.xml.tree,1,:moderate,:native-libxml2,:brown
clojure.datafy,2,:essential,:nclj-zig-builtin,:purple
clojure.edn,2,:essential,:nclj-zig-builtin,:blue
clojure.instant,2,:essential,:nclj-zig-builtin,:blue
clojure.java.browse,2,:moderate,:std.process,:purple
clojure.java.io,13,:essential,:std.fs+std.io,:blue
clojure.java.process,8,:essential,:std.process,:blue
clojure.java.shell,5,:essential,:std.process,:blue
clojure.main,7,:essential,:nclj-zig-builtin,:blue
clojure.math,45,:essential,:nclj-zig-builtin,:blue
clojure.pprint,17,:essential,:nclj-zig-builtin,:purple
clojure.reflect,1,:essential,:nclj-zig-comptime,:purple
clojure.repl,10,:essential,:nclj-zig-builtin,:blue
clojure.set,12,:essential,:nclj-zig-builtin,:blue
clojure.stacktrace,5,:essential,:nclj-zig-builtin,:blue
clojure.string,21,:essential,:nclj-zig-builtin,:blue
clojure.template,2,:essential,:nclj-zig-builtin,:purple
clojure.test,37,:essential,:nclj-zig-builtin,:blue
clojure.test.check,1,:essential,:nclj-zig-builtin,:purple
clojure.test.check.generators,80,:essential,:nclj-zig-builtin,:purple
clojure.test.check.properties,4,:essential,:nclj-zig-builtin,:purple
clojure.test.check.random,6,:essential,:nclj-zig-builtin,:purple
clojure.test.check.rose-tree,16,:essential,:nclj-zig-builtin,:purple
clojure.tools.cli,5,:essential,:nclj-zig-builtin,:blue
clojure.tools.logging,15,:essential,:std.log+nclj-zig,:purple
clojure.tools.logging.impl,2,:essential,:nclj-zig-builtin,:purple
clojure.tools.logging.readable,15,:essential,:nclj-zig-builtin,:purple
clojure.tools.reader,5,:essential,:nclj-zig-builtin,:blue
clojure.tools.reader.edn,2,:essential,:nclj-zig-builtin,:blue
clojure.tools.reader.reader-types,9,:essential,:nclj-zig-builtin,:blue
clojure.walk,10,:essential,:nclj-zig-builtin,:blue
clojure.zip,28,:essential,:nclj-zig-builtin,:purple
cognitect.transit,11,:moderate,:native+nclj-zig,:brown
edamame.core,12,:essential,:nclj-zig-builtin,:blue
flatland.ordered.map,1,:essential,:nclj-zig-builtin,:purple
flatland.ordered.set,1,:essential,:nclj-zig-builtin,:purple
hiccup.compiler,1,:moderate,:nclj-zig-builtin,:brown
hiccup.core,1,:moderate,:nclj-zig-builtin,:brown
hiccup.util,4,:moderate,:nclj-zig-builtin,:brown
hiccup2.core,2,:moderate,:nclj-zig-builtin,:brown
nextjournal.markdown,9,:moderate,:native-md4c,:brown
nextjournal.markdown.utils,10,:moderate,:native-md4c,:brown
org.httpkit.client,23,:essential,:std.http.Client,:purple
org.httpkit.server,13,:essential,:std.net.http,:purple
org.httpkit.sni-client,2,:moderate,:std.crypto.tls,:purple
rewrite-clj.node,57,:moderate,:nclj-zig-builtin,:brown
rewrite-clj.paredit,23,:moderate,:nclj-zig-builtin,:brown
rewrite-clj.parser,4,:moderate,:nclj-zig-builtin,:brown
rewrite-clj.zip,108,:moderate,:nclj-zig-builtin,:brown
rewrite-clj.zip.subedit,7,:moderate,:nclj-zig-builtin,:brown
sci.core,60,:critical,:nclj-zig-CORE,:white
selmer.filters,4,:moderate,:nclj-zig-builtin,:brown
selmer.parser,34,:moderate,:nclj-zig-builtin,:brown
selmer.tags,2,:moderate,:nclj-zig-builtin,:brown
selmer.util,6,:moderate,:nclj-zig-builtin,:brown
selmer.validator,1,:moderate,:nclj-zig-builtin,:brown
taoensso.encore,3,:moderate,:nclj-zig-builtin,:brown
taoensso.timbre,28,:moderate,:std.log,:brown
taoensso.timbre.appenders.core,2,:moderate,:nclj-zig-builtin,:brown
taoensso.truss,1,:moderate,:nclj-zig-builtin,:brown
